"gnd_id","author","title","date"
"http://d-nb.info/gnd/11854019X","Görres Joseph von","Die teutschen Volks…",1807
"http://d-nb.info/gnd/118563076","Kleist Heinrich von","Amphitryon",1807
"http://d-nb.info/gnd/118563076","H. v. Kleist","Amphitryon",1807
"http://d-nb.info/gnd/118563076","Heinrich von Kleist","Das Erdbeben in Chi…",1807
"http://d-nb.info/gnd/118554700","Humboldt Alexander …","Ideen zu einer Phys…",1806
"http://d-nb.info/gnd/118504177","Arnim Achim von","Des Knaben Wunderho…",1806
"http://d-nb.info/gnd/11851217X","Giovanni di Boccacc…","Fiammetta",1806
"http://d-nb.info/gnd/118605232","Christian Gotthilf …","Ameisenbüchlein",1806
"http://d-nb.info/gnd/118557211","Jean Paul","Levana oder Erziehl…",1806
"http://d-nb.info/gnd/118563300","Klingemann Ernst Au…","Nachtwachen",1805
"http://d-nb.info/gnd/116208503","Blumenbach Johann F…","Handbuch der vergle…",1805
"http://d-nb.info/gnd/118557211","Paul Jean Richter, …","Flegeljahre",1805
"http://d-nb.info/gnd/118760866","Treviranus Gottfrie…","Biologie, oder Phil…",1805
"http://d-nb.info/gnd/118557211","Jean Paul","Freiheits-Büchlein",1805
"http://d-nb.info/gnd/118713507","Theodor Körner","Woldemar",1805
"http://d-nb.info/gnd/118589717","Oken Lorenz","Abriß des Systems d…",1805
"http://d-nb.info/gnd/118563300","August Klingemann","Nachtwachen",1804
"http://d-nb.info/gnd/118563300","Bonaventura","Nachtwachen",1804
"http://d-nb.info/gnd/11852156X","Collin Heinrich Jos…","Coriolan",1804
"http://d-nb.info/gnd/118632477","Christoph Martin Wi…","Krates und Hipparch…",1804
"http://d-nb.info/gnd/118557211","Paul Jean Richter, …","Flegeljahre",1804
"http://d-nb.info/gnd/118557211","Paul Jean Richter, …","Flegeljahre",1804
"http://d-nb.info/gnd/118557211","Paul Jean Richter, …","Flegeljahre",1804
"http://d-nb.info/gnd/118607626","Friedrich Schiller","Wilhelm Tell",1804
"http://d-nb.info/gnd/116572167","Ulrich Hegner","Auch ich war in Par…",1804
"http://d-nb.info/gnd/118557211","Jean Paul","Vorschule der Ästhe…",1804
"http://d-nb.info/gnd/118557211","Jean Paul","Flegeljahre",1804
"http://d-nb.info/gnd/118615688","Sophokles","Ödipus der Tyrann",1804
"http://d-nb.info/gnd/118615688","Sophokles","Antigone",1804
"http://d-nb.info/gnd/118532650","Fessler Ignaz Aurel…","Eleusinien des neun…",1803
"http://d-nb.info/gnd/118565796","Kotzebue August von","Die deutschen Klein…",1803
"http://d-nb.info/gnd/100796672","Raabe Heinrich Augu…","Die Postgeheimnisse…",1803
"http://d-nb.info/gnd/118607960","August Wilhelm Schl…","Jon",1803
"http://d-nb.info/gnd/118599224","Reil Johann Christi…","Rhapsodieen über di…",1803
"http://d-nb.info/gnd/118632477","Christoph Martin Wi…","Menander und Glycer…",1803
"http://d-nb.info/gnd/118607057","Schelling Friedrich…","Vorlesungen über di…",1803
"http://d-nb.info/gnd/118607626","Friedrich Schiller","Die Braut von Messi…",1803
"http://d-nb.info/gnd/118607057","Friedrich Wilhelm J…","Vorlesungen über di…",1803
"http://d-nb.info/gnd/118760866","Treviranus Gottfrie…","Biologie, oder Phil…",1803
"http://d-nb.info/gnd/118613480","Seume Johann Gottfr…","Spaziergang nach Sy…",1803
"http://d-nb.info/gnd/118613480","Johann Gottfried Se…","Spaziergang nach Sy…",1803
"http://d-nb.info/gnd/118547453","Hebel Johann Peter","Allemannische Gedic…",1803
"http://d-nb.info/gnd/118563076","Heinrich von Kleist","Die Familie Schroff…",1803
"http://d-nb.info/gnd/118637266","Heinrich Zschokke","Alamontade",1803
"http://d-nb.info/gnd/118559796","Kant Immanuel","Über Pädagogik",1803
"http://d-nb.info/gnd/118557211","Paul Jean","Titan",1803
"http://d-nb.info/gnd/11858104X","Sophie Mereau","Amanda und Eduard",1803
"http://d-nb.info/gnd/118532650","Fessler Ignaz Aurel…","Eleusinien des neun…",1802
"http://d-nb.info/gnd/118554700","Humboldt Alexander …","Auszug aus einem Br…",1802
"http://d-nb.info/gnd/118890263","Caroline Auguste Fi…","Krauskopf und Goldl…",1802
"http://d-nb.info/gnd/118890263","Caroline Auguste Fi…","Selim und Zoraïde",1802
"http://d-nb.info/gnd/118504177","Achim von Arnim","Hollin's Liebeleben",1802
"http://d-nb.info/gnd/118726692","Laukhard Friedrich …","F. C. Laukhards Leb…",1802
"http://d-nb.info/gnd/118809962","Forkel Johann Nikol…","Ueber Johann Sebast…",1802
"http://d-nb.info/gnd/118760866","Treviranus Gottfrie…","Biologie, oder Phil…",1802
"http://d-nb.info/gnd/11898618X","Kosegarten Ludwig G…","Poesieen",1802
"http://d-nb.info/gnd/118557211","Paul Jean","Titan",1802
"http://d-nb.info/gnd/118557211","Jean Paul","Titan Titan",1802
"http://d-nb.info/gnd/118588893","Novalis","Heinrich von Ofterd…",1802
"http://d-nb.info/gnd/118588893","Novalis","Heinrich von Ofterd…",1802
"http://d-nb.info/gnd/118532766","Feuerbach Paul Joha…","Lehrbuch des gemein…",1801
"http://d-nb.info/gnd/118565796","August von Kotzebue","Die deutschen Klein…",1801
"http://d-nb.info/gnd/118515055","Clemens Brentano","Godwi",1801
"http://d-nb.info/gnd/118632477","Christoph Martin Wi…","Aristipp",1801
"http://d-nb.info/gnd/118607979","Dorothea Schlegel","Florentin",1801
"http://d-nb.info/gnd/118607626","Schiller Friedrich","Maria Stuart",1801
"http://d-nb.info/gnd/119267659","Karl Friedrich Hens…","Die Teufelsmühle am…",1801
"http://d-nb.info/gnd/118607626","Friedrich Schiller","Maria Stuart",1801
"http://d-nb.info/gnd/118607626","Friedrich Schiller","Die Jungfrau von Or…",1801
"http://d-nb.info/gnd/118592912","Johann Heinrich Pes…","Wie Gertrud ihre Ki…",1801
"http://d-nb.info/gnd/118557211","Paul Jean","Titan",1801
"http://d-nb.info/gnd/118557211","Jean Paul","Das heimliche Klagl…",1801
"http://d-nb.info/gnd/118557211","Jean Paul","Die wunderbare Gese…",1801
"http://d-nb.info/gnd/116326492","Eytelwein Johann Al…","Praktische Anweisun…",1800
"http://d-nb.info/gnd/119498170","Burdach Karl Friedr…","Propädeutik",1800
"http://d-nb.info/gnd/116667826","Glück Christian Fri…","Berichtigungen und …",1800
"http://d-nb.info/gnd/118608045","Friedrich Schleierm…","Friedrich Schleierm…",1800
"http://d-nb.info/gnd/100322689","Rhode Johann Gottli…","Theorie der Verbrei…",1800
"http://d-nb.info/gnd/118557211","Paul Jean","Titan",1800
"http://d-nb.info/gnd/118557211","Jean Paul","Clavis Fichtiana se…",1800
"http://d-nb.info/gnd/12989432X","Ludwig Tieck","Leben und Tod der h…",1800
"http://d-nb.info/gnd/12989432X","Ludwig Tieck","Leben und Tod des k…",1800
"http://d-nb.info/gnd/118620916","Torquato Tasso","Das befreite Jerusa…",1800
"http://d-nb.info/gnd/118715097","Kortum Carl Arnold","Die Jobsiade",1799
"http://d-nb.info/gnd/118715097","Kortum Carl Arnold","Die Jobsiade",1799
"http://d-nb.info/gnd/118715097","Kortum Carl Arnold","Die Jobsiade",1799
"http://d-nb.info/gnd/118565796","August von Kotzebue","Ueble Laune",1799
"http://d-nb.info/gnd/120068362","August Maurer","Leipzig im Taumel",1799
